Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,3712,5,4,prefill,11.716591578910712,1657.0860139184424,167.936354217184,392.94749297259176
Llama2-13B,20,3712,10,2,prefill,14.330945388075891,2682.32870741136,145.3474593725264,504.99071630346526
Llama2-13B,20,3712,20,1,prefill,20.017479837383927,3794.207998848095,140.89375452492496,630.7577099986026
Llama2-13B,20,3712,40,1,prefill,36.195427829919645,4210.366840576016,134.77573057140805,635.5321825576898
Llama2-13B,20,3840,1,20,prefill,10.096223510758929,405.1413087885418,333.1481650425978,216.56135576107025
Llama2-13B,20,3840,2,10,prefill,10.2436540321875,797.0624796551423,193.078579976556,242.10496104444545
Llama2-13B,20,3840,4,5,prefill,11.442598314017856,1415.8894545869157,164.89245087122455,340.8351898657112
Llama2-13B,20,3840,5,4,prefill,12.266904502321427,1640.6156363632392,168.27387820032402,389.6273076553935
Llama2-13B,20,3840,10,2,prefill,14.984176663526783,2658.234076078072,145.75059435775609,501.7523393206345
Llama2-13B,20,3840,20,1,prefill,20.89233494901785,3765.2743597309336,141.4332226744351,628.345639658091
Llama2-13B,20,3840,40,1,prefill,37.79404719508929,4176.780067703788,135.24122197400547,632.9603091277055
Llama2-13B,20,3968,1,20,prefill,10.57636749445089,400.67180527001,333.4560433866125,214.1087519769536
